CAH level 1,Sex,Academic Year,Number
01 Medicine and dentistry,Female,2019/20,42735
01 Medicine and dentistry,Male,2019/20,27670
01 Medicine and dentistry,Female,2020/21,47435
01 Medicine and dentistry,Male,2020/21,29445
01 Medicine and dentistry,Female,2021/22,51095
01 Medicine and dentistry,Male,2021/22,30390
02 Subjects allied to medicine,Female,2019/20,233205
02 Subjects allied to medicine,Male,2019/20,61510
02 Subjects allied to medicine,Female,2020/21,269305
02 Subjects allied to medicine,Male,2020/21,69445
02 Subjects allied to medicine,Female,2021/22,291555
02 Subjects allied to medicine,Male,2021/22,74125
03 Biological and sport sciences,Female,2019/20,55405
03 Biological and sport sciences,Male,2019/20,57420
03 Biological and sport sciences,Female,2020/21,58050
03 Biological and sport sciences,Male,2020/21,59050
03 Biological and sport sciences,Female,2021/22,58155
03 Biological and sport sciences,Male,2021/22,59030
04 Psychology,Female,2019/20,96660
04 Psychology,Male,2019/20,22180
04 Psychology,Female,2020/21,109505
04 Psychology,Male,2020/21,25265
04 Psychology,Female,2021/22,114000
04 Psychology,Male,2021/22,25975
05 Veterinary sciences,Female,2019/20,8695
05 Veterinary sciences,Male,2019/20,1945
05 Veterinary sciences,Female,2020/21,9430
05 Veterinary sciences,Male,2020/21,2100
05 Veterinary sciences,Female,2021/22,10035
05 Veterinary sciences,Male,2021/22,2070
"06 Agriculture, food and related studies",Female,2019/20,10735
"06 Agriculture, food and related studies",Male,2019/20,5995
"06 Agriculture, food and related studies",Female,2020/21,12070
"06 Agriculture, food and related studies",Male,2020/21,6325
"06 Agriculture, food and related studies",Female,2021/22,12575
"06 Agriculture, food and related studies",Male,2021/22,7035
07 Physical sciences,Female,2019/20,27585
07 Physical sciences,Male,2019/20,38795
07 Physical sciences,Female,2020/21,29045
07 Physical sciences,Male,2020/21,39005
07 Physical sciences,Female,2021/22,29300
07 Physical sciences,Male,2021/22,37670
09 Mathematical sciences,Female,2019/20,17360
09 Mathematical sciences,Male,2019/20,29295
09 Mathematical sciences,Female,2020/21,18010
09 Mathematical sciences,Male,2020/21,30405
09 Mathematical sciences,Female,2021/22,17435
09 Mathematical sciences,Male,2021/22,29560
10 Engineering and technology,Female,2019/20,34890
10 Engineering and technology,Male,2019/20,140225
10 Engineering and technology,Female,2020/21,36875
10 Engineering and technology,Male,2020/21,146060
