Cost centre group,Nationality,Academic year,Sex,Number
Administration & business studies,European Union,2014/15,Female,1030
Administration & business studies,Non-European Union,2014/15,Female,955
Administration & business studies,Not known,2014/15,Female,100
Administration & business studies,UK,2014/15,Female,4325
Administration & business studies,European Union,2014/15,Male,1300
Administration & business studies,Non-European Union,2014/15,Male,1410
Administration & business studies,Not known,2014/15,Male,130
Administration & business studies,UK,2014/15,Male,5855
Administration & business studies,All,2014/15,Female,6410
Administration & business studies,All,2014/15,Male,8695
"Agriculture, forestry & veterinary science",European Union,2014/15,Female,220
"Agriculture, forestry & veterinary science",Non-European Union,2014/15,Female,100
"Agriculture, forestry & veterinary science",Not known,2014/15,Female,10
"Agriculture, forestry & veterinary science",UK,2014/15,Female,920
"Agriculture, forestry & veterinary science",European Union,2014/15,Male,190
"Agriculture, forestry & veterinary science",Non-European Union,2014/15,Male,100
"Agriculture, forestry & veterinary science",Not known,2014/15,Male,5
"Agriculture, forestry & veterinary science",UK,2014/15,Male,850
"Agriculture, forestry & veterinary science",All,2014/15,Female,1245
"Agriculture, forestry & veterinary science",All,2014/15,Male,1150
Architecture & planning,European Union,2014/15,Female,265
Architecture & planning,Non-European Union,2014/15,Female,170
Architecture & planning,Not known,2014/15,Female,30
Architecture & planning,UK,2014/15,Female,820
Architecture & planning,European Union,2014/15,Male,300
Architecture & planning,Non-European Union,2014/15,Male,255
Architecture & planning,Not known,2014/15,Male,65
Architecture & planning,UK,2014/15,Male,2020
Architecture & planning,All,2014/15,Female,1285
Architecture & planning,All,2014/15,Male,2635
"Biological, mathematical & physical sciences",European Union,2014/15,Female,2690
"Biological, mathematical & physical sciences",Non-European Union,2014/15,Female,1460
"Biological, mathematical & physical sciences",Not known,2014/15,Female,195
"Biological, mathematical & physical sciences",UK,2014/15,Female,6170
"Biological, mathematical & physical sciences",European Union,2014/15,Male,4235
"Biological, mathematical & physical sciences",Non-European Union,2014/15,Male,3090
"Biological, mathematical & physical sciences",Not known,2014/15,Male,395
"Biological, mathematical & physical sciences",UK,2014/15,Male,13035
"Biological, mathematical & physical sciences",All,2014/15,Female,10515
"Biological, mathematical & physical sciences",All,2014/15,Male,20755
"Design, creative & performing arts",European Union,2014/15,Female,735
"Design, creative & performing arts",Non-European Union,2014/15,Female,515
"Design, creative & performing arts",Not known,2014/15,Female,410
"Design, creative & performing arts",UK,2014/15,Female,5620
"Design, creative & performing arts",European Union,2014/15,Male,570
"Design, creative & performing arts",Non-European Union,2014/15,Male,375
"Design, creative & performing arts",Not known,2014/15,Male,395
"Design, creative & performing arts",UK,2014/15,Male,7105
"Design, creative & performing arts",All,2014/15,Female,7275
"Design, creative & performing arts",All,2014/15,Male,8450
Education,European Union,2014/15,Female,570
Education,Non-European Union,2014/15,Female,295
Education,Not known,2014/15,Female,115
Education,UK,2014/15,Female,6990
Education,European Union,2014/15,Male,340
Education,Non-European Union,2014/15,Male,175
Education,Not known,2014/15,Male,75
Education,UK,2014/15,Male,4730
Education,All,2014/15,Female,7970
Education,All,2014/15,Male,5320
Engineering & technology,European Union,2014/15,Female,1075
Engineering & technology,Non-European Union,2014/15,Female,1035
