Cost centre group,Cost centre,Academic year,Sex,Number
"Medicine, dentistry & health",101 Clinical medicine,2014/15,Female,12480
"Medicine, dentistry & health",101 Clinical medicine,2014/15,Male,11090
"Medicine, dentistry & health",102 Clinical dentistry,2014/15,Female,665
"Medicine, dentistry & health",102 Clinical dentistry,2014/15,Male,840
"Medicine, dentistry & health",103 Nursing & allied health professions,2014/15,Female,7170
"Medicine, dentistry & health",103 Nursing & allied health professions,2014/15,Male,2380
"Medicine, dentistry & health",104 Psychology & behavioural sciences,2014/15,Female,3815
"Medicine, dentistry & health",104 Psychology & behavioural sciences,2014/15,Male,2515
"Medicine, dentistry & health",105 Health & community studies,2014/15,Female,2005
"Medicine, dentistry & health",105 Health & community studies,2014/15,Male,1050
"Medicine, dentistry & health",106 Anatomy & physiology,2014/15,Female,785
"Medicine, dentistry & health",106 Anatomy & physiology,2014/15,Male,825
"Medicine, dentistry & health",107 Pharmacy & pharmacology,2014/15,Female,1060
"Medicine, dentistry & health",107 Pharmacy & pharmacology,2014/15,Male,1110
Education,108 Sports science & leisure studies,2014/15,Female,985
Education,108 Sports science & leisure studies,2014/15,Male,1655
"Agriculture, forestry & veterinary science",109 Veterinary science,2014/15,Female,760
"Agriculture, forestry & veterinary science",109 Veterinary science,2014/15,Male,600
"Agriculture, forestry & veterinary science","110 Agriculture, forestry & food science",2014/15,Female,485
"Agriculture, forestry & veterinary science","110 Agriculture, forestry & food science",2014/15,Male,550
"Biological, mathematical & physical sciences","111 Earth, marine & environmental sciences",2014/15,Female,1295
"Biological, mathematical & physical sciences","111 Earth, marine & environmental sciences",2014/15,Male,2460
"Biological, mathematical & physical sciences",112 Biosciences,2014/15,Female,6095
"Biological, mathematical & physical sciences",112 Biosciences,2014/15,Male,7645
"Biological, mathematical & physical sciences",113 Chemistry,2014/15,Female,1125
"Biological, mathematical & physical sciences",113 Chemistry,2014/15,Male,3035
"Biological, mathematical & physical sciences",114 Physics,2014/15,Female,950
"Biological, mathematical & physical sciences",114 Physics,2014/15,Male,4120
Engineering & technology,115 General engineering,2014/15,Female,775
Engineering & technology,115 General engineering,2014/15,Male,2950
Engineering & technology,116 Chemical engineering,2014/15,Female,280
Engineering & technology,116 Chemical engineering,2014/15,Male,770
Engineering & technology,"117 Mineral, metallurgy & materials engineering",2014/15,Female,315
Engineering & technology,"117 Mineral, metallurgy & materials engineering",2014/15,Male,890
Engineering & technology,118 Civil engineering,2014/15,Female,425
Engineering & technology,118 Civil engineering,2014/15,Male,1515
